Asset Class,Allocation Liq,Allocation Illiq
Money Market,47.112458789229564,55.54644147050758
U.S. Long Treasuries,2.101284825669336,7.392437711223667
U.S. Long Corporate Bonds,0.07087943971985994,0.09098649324662333
U.S. Large Cap,0.07087943971985994,0.09098649324662333
U.S. Small Cap,0.07087943971985994,0.09098649324662333
EAFE Equity,5.062024895320151,13.946493964987116
U.S. REITs,16.391032890481295,13.828160620165079
Global Core Infrastructure,29.120560280140072,9.013506753376689
cec,4.125233688128115,4.023614936178676
xi_med,29.120560280140072,12.13172668081459
c_med,3.9534201909314115,3.8640365765681315
allocation benefit,0.18667978417261644,0.7135746140115806
missalocation cost,0.0,-5.432482777951508
