Asset Class,Allocation Liq,Allocation Illiq
Money Market,30.924502272538156,53.806048467707335
U.S. Long Treasuries,32.27131224515669,14.183358622972527
U.S. Long Corporate Bonds,0.06384692346173088,0.09118459229614809
U.S. Large Cap,0.06384692346173088,0.09118459229614809
U.S. Small Cap,0.06384692346173088,0.09118459229614809
EAFE Equity,0.06377627322722744,10.986903289068472
U.S. REITs,0.3957919004236026,11.93472813951129
Private Equity,36.15307653826913,8.815407703851927
cec,4.592484044940011,4.13804105415699
xi_med,36.15307653826913,13.4071940949749
c_med,4.323453951131972,3.938928285741909
allocation benefit,0.6202396823045353,1.5701302514447901
missalocation cost,0.0,-12.494891104543115
