Asset Class,Allocation Liq,Allocation Illiq
Money Market,9.129771913425477,49.12591992634179
U.S. Long Treasuries,21.440109527821782,12.462446680377164
U.S. Long Corporate Bonds,0.04869234617308654,0.08915407703851928
U.S. Large Cap,0.04869234617308654,0.08915407703851928
U.S. Small Cap,0.04869234617308654,0.08915407703851928
EAFE Equity,17.92756763758433,19.083303656722823
U.S. REITs,0.04882005573568453,8.21494454396193
U.S. Core Real Estate,51.30765382691346,10.84592296148074
cec,5.2542902442562145,4.301131659496961
xi_med,51.30765382691346,15.917775699475984
c_med,4.827404793412999,4.055500021647039
allocation benefit,1.2226246013607334,2.8196829835142045
missalocation cost,0.0,-30.13880083841416
