Asset Class,Allocation Liq,Allocation Illiq
Money Market,9.129771913425477,39.88568094841024
U.S. Long Treasuries,21.440109527821782,14.985899901568272
U.S. Long Corporate Bonds,0.04869234617308654,0.07944722361180591
U.S. Large Cap,0.04869234617308654,0.07944722361180591
U.S. Small Cap,0.04869234617308654,0.07944722361180591
EAFE Equity,17.92756763758433,20.267301004843446
U.S. REITs,0.04882005573568453,4.0700000861485295
U.S. Core Real Estate,51.30765382691346,20.552776388194097
cec,5.2542902442562145,4.597600015681386
xi_med,51.30765382691346,24.59774436341843
c_med,4.827404793412999,4.3054907503684685
allocation benefit,1.2226246013607334,3.069513883371755
missalocation cost,0.0,-16.675712084093753
