1/eta,Cash,Liquid 1,Liquid 2,Illiquid 1,Allocation Benefit,cec,xi_sim_2.5%,xi_sim_50%,xi_sim_97.5%,c_sim_2.5%,c_sim_50%,c_sim_97.5%,c,convergence
0.5,42.44885657802485,22.410143551705787,-28.15164645289222,63.292646323161584,32.11289365020906,5.1972771597150125,58.052669311020644,63.292646323161584,76.18831780655346,4.7568126493318115,4.782649733447881,4.808355377606325,4.782649733447881,True
1.0,42.70279057414639,22.355433878679946,-26.518454567883865,61.460230115057534,31.866464164519105,5.187582705963603,54.158849766085204,61.460230115057534,84.09912263918461,4.636491690534356,4.771516649794603,4.826208851172203,4.771516649794603,True
2.0,43.411309648172946,22.289017443201395,-22.752853354505906,57.05252626313156,31.105982586101575,5.1576656143861666,48.61509595792332,60.2770172207197,93.18107556788274,4.260946120211434,4.748406527588671,5.004695515100908,4.750471030012038,True
5.0,49.28771833490951,22.236546715514553,2.9209575608815825,25.55477738869435,18.592752727066575,4.665399326488357,22.167662909744045,31.912758247666872,83.99205647805823,2.2340371627629607,4.340624590597447,4.372738862421177,4.3694195588809315,True
10.0,51.46992002404427,22.326795060635902,11.14775715143788,15.055527763881942,11.57065918753446,4.389152509406133,13.16633124252769,24.559269255048257,94.69425274375142,1.094282132358161,4.074742512149001,4.154842743598105,4.152623743338993,True
15.0,52.5202714820836,22.43084907447226,14.549629818631733,10.499249624812407,8.461869282147072,4.2668537517057565,9.41027664006411,19.781249962912483,98.64372897622984,0.8369476675675329,3.974535803847104,4.058108557008672,4.056267314577496,True
20.0,53.09271018690953,22.50226287151708,16.332490673439327,8.072536268134067,6.869186354642287,4.204198136700419,7.250766419415225,21.238342867738563,100.0,0.0,3.8446785317120717,4.00864415171357,4.007294001125953,True
25.0,53.30335742944201,22.492594892783448,17.221056182026658,6.982991495747874,5.869068179084569,4.164853821340827,6.430772163428125,24.786117090097026,100.00000086403426,-7.405393648762767e-07,3.6835267563712137,3.97671714796457,3.9757910687130797,True
30.0,53.409013219319014,22.47638238645018,17.7754348094384,6.339169584792397,5.159070952915479,4.136922767337881,5.8953171913245495,25.116927488829838,100.00000364424683,-2.9878453213768708e-06,3.61613135917133,3.9539602833512246,3.953214549862362,True
2m,54.612092246383725,22.69395387680814,22.69395387680814,,,3.9339666372577313,,,,,,,3.780818616304244,
3m,41.58408168747535,22.69395387680814,-29.41808835882538,65.14005279454189,,5.226169911246851,,,,,,,4.790489434619643,
