Asset Class,Allocation Liq,Allocation Illiq
Money Market,8.987363632496647,15.71203131175234
U.S. Long Treasuries,14.084191459615125,13.4136918624097
U.S. Long Corporate Bonds,0.04086743371685843,0.04854377188594296
U.S. Large Cap,0.04086743371685843,0.04854377188594296
U.S. Small Cap,0.04086743371685843,0.04854377188594296
EAFE Equity,3.2540136907102437,5.192528285186116
U.S. REITs,14.419262632885829,14.079889110936989
Diversified Hedge Funds,59.13256628314157,51.45622811405703
cec,4.2401157000915735,4.211846536599752
xi_med,59.13256628314157,51.45622811405703
c_med,3.9796229382131987,4.020104583298343
allocation benefit,0.293972513176155,0.413055517525307
missalocation cost,0.0,-0.18758336674755682
